1, Location, 349238.3985, -43.521526, 172.582418, 21.4788, 10.0000, 16.0000
2, Heading, 349238.5007, 80.6878, 104.2185
3, Gyroscope, 349239.1022, -0.034565, -0.038651, -0.003393
4, Accelerometer, 349239.1022, 0.000856, -0.008263, -0.015212
5, Gravity, 349239.1022, -0.000902, -0.998390, -0.056718
6, Motion, 349239.1022
7, Frame, 349239.1090, 0
8, Gyroscope, 349239.1650, 0.016265, -0.020834, 0.011041
9, Accelerometer, 349239.1650, -0.000376, -0.011653, -0.004021
10, Gravity, 349239.1650, -0.001836, -0.998311, -0.058067
11, Motion, 349239.1650
12, Gyroscope, 349239.2277, -0.032234, -0.043189, -0.008214
13, Accelerometer, 349239.2277, -0.000685, -0.012114, -0.013583
14, Gravity, 349239.2277, -0.002168, -0.998292, -0.058377
15, Motion, 349239.2277
16, Frame, 349239.2424, 1
17, Gyroscope, 349239.2905, -0.014323, -0.001629, 0.014282
18, Accelerometer, 349239.2905, -0.019375, 0.006740, 0.041366
19, Gravity, 349239.2905, -0.003788, -0.998347, -0.057342
20, Motion, 349239.2905
21, Gyroscope, 349239.3532, 0.022477, 0.064399, 0.016487
22, Accelerometer, 349239.3532, -0.013075, 0.011892, 0.019033
23, Gravity, 349239.3532, -0.004320, -0.998327, -0.057653
24, Motion, 349239.3532
25, Location, 349239.3968, -43.521606, 172.582436, 26.6453, 10.0000, 16.0000
26, Gyroscope, 349239.4160, -0.019232, -0.029051, -0.017557
27, Accelerometer, 349239.4160, -0.006006, 0.000296, -0.013390
28, Gravity, 349239.4160, -0.003759, -0.998190, -0.060020
29, Motion, 349239.4160
30, Frame, 349239.4092, 2
31, Gyroscope, 349239.4787, -0.040502, -0.025349, -0.032206
32, Accelerometer, 349239.4787, -0.014364, -0.004621, 0.012464
33, Gravity, 349239.4787, -0.004069, -0.998156, -0.060560
34, Motion, 349239.4787
35, Gyroscope, 349239.5415, 0.090580, -0.074230, 0.055637
36, Accelerometer, 349239.5415, -0.008875, 0.000797, -0.004592
37, Gravity, 349239.5415, -0.005255, -0.998142, -0.060700
38, Motion, 349239.5415
39, Frame, 349239.5426, 3
40, Gyroscope, 349239.6042, -0.058295, -0.104474, 0.009988
41, Accelerometer, 349239.6042, -0.005616, -0.019239, 0.029229
42, Gravity, 349239.6042, -0.008148, -0.998218, -0.059121
43, Motion, 349239.6042
44, Gyroscope, 349239.6670, 0.044322, -0.075031, -0.016157
45, Accelerometer, 349239.6670, -0.015591, 0.014539, 0.041257
46, Gravity, 349239.6670, -0.009647, -0.998273, -0.057950
47, Motion, 349239.6670
48, Frame, 349239.6760, 4
49, Gyroscope, 349239.7297, 0.022208, -0.009614, 0.002442
50, Accelerometer, 349239.7297, 0.004271, -0.004333, -0.024854
51, Gravity, 349239.7297, -0.008162, -0.998413, -0.055713
52, Motion, 349239.7297
53, Heading, 349239.7939, 81.6878, 105.2185
54, Gyroscope, 349239.7925, -0.019298, -0.041731, -0.029841
55, Accelerometer, 349239.7925, 0.008354, -0.009523, -0.008158
56, Gravity, 349239.7925, -0.007713, -0.998381, -0.056356
57, Motion, 349239.7925
58, Frame, 349239.8428, 5
59, Gyroscope, 349239.8552, 0.066946, -0.060026, 0.021576
60, Accelerometer, 349239.8552, 0.000668, -0.022648, 0.007161
61, Gravity, 349239.8552, -0.008007, -0.998425, -0.055531
62, Motion, 349239.8552
63, Gyroscope, 349239.9180, -0.051297, -0.142825, 0.013084
64, Accelerometer, 349239.9180, -0.011844, -0.006902, 0.001980
65, Gravity, 349239.9180, -0.009869, -0.998408, -0.055538
66, Motion, 349239.9180
67, Gyroscope, 349239.9807, 0.080957, -0.083939, -0.001184
68, Accelerometer, 349239.9807, -0.009106, 0.028340, 0.020059
69, Gravity, 349239.9807, -0.012928, -0.998540, -0.052453
